User,Average,std,zcr,centroid,rollof,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,label
AJ,0.0001748169888742268,0.06702820956707001,1505.0,0.07987816887239782,0.14251557289372677,-425.43536376953125,110.63972473144531,33.0987663269043,12.889437675476074,-1.8372321128845215,-0.4455074369907379,-2.2466049194335938,-6.1072163581848145,-2.528062582015991,-0.2486284226179123,-12.453880310058594,-3.5956199169158936,-4.926504135131836,-4.446346759796143,1.0
AJ,-1.3003441381442826e-05,0.06373047828674316,1514.0,0.44814818251567456,0.24245939675174014,-418.2292785644531,121.05203247070312,18.744495391845703,21.07634162902832,8.956786155700684,-0.2679814398288727,-16.45353889465332,-7.14441442489624,-3.1496779918670654,0.042572230100631714,-12.427892684936523,-6.4009480476379395,-2.3745789527893066,-4.743772983551025,1.0
AJ,1.8629900296218693e-05,0.05066283419728279,3986.0,0.32328427270437504,0.39021387677612634,-430.0281066894531,93.15238189697266,27.714996337890625,27.186513900756836,10.140581130981445,6.420453071594238,-4.152554512023926,10.403549194335938,-1.2664300203323364,6.145258903503418,-7.084801197052002,-1.0318529605865479,1.0626263618469238,-1.9689505100250244,1.0
AJ,5.764142770203762e-05,0.059019532054662704,1668.0,0.3261647142315919,0.3504243661366566,-369.9421691894531,104.33463287353516,24.363704681396484,26.23274040222168,6.363105773925781,4.713253974914551,-16.766658782958984,5.110753059387207,-6.248244762420654,7.379820823669434,-13.206908226013184,-0.9286956787109375,-4.179599285125732,-8.380134582519531,1.0
AJ,2.8016993383062072e-05,0.0431969091296196,2000.0,0.14212433540443942,0.38440371362940273,-430.498779296875,90.09971618652344,30.317094802856445,33.402557373046875,9.03105354309082,9.912163734436035,-12.696789741516113,2.9660568237304688,-2.904611349105835,10.308958053588867,-12.165600776672363,2.361982822418213,-2.5799107551574707,-5.428612232208252,1.0
AJ,-8.203162906283978e-06,0.02577507495880127,1532.0,0.40141918957672434,0.2249488752556237,-465.51251220703125,114.55046844482422,20.661222457885742,32.96349334716797,12.795585632324219,13.749746322631836,-7.26121187210083,-4.244582176208496,0.58622145652771,9.075206756591797,-17.25282859802246,3.3141849040985107,1.5695258378982544,-6.842979907989502,1.0
AJ,-6.8550803007383365e-06,0.05022374913096428,1538.0,0.10646076982823519,0.30152505446623096,-433.6667175292969,110.83238220214844,15.31072998046875,27.820920944213867,12.72647762298584,4.26370906829834,-4.46706485748291,-9.701422691345215,-4.368007183074951,10.141718864440918,-16.645063400268555,0.17891304194927216,0.14594964683055878,-9.120906829833984,1.0
AJ,3.353987040100037e-06,0.055350229144096375,2030.0,0.08083098891484644,0.2669995838535164,-452.4876708984375,96.99398803710938,20.265840530395508,21.429763793945312,19.889848709106445,12.736493110656738,1.5989395380020142,-3.7737934589385986,-6.254849433898926,3.858006238937378,-8.442049026489258,-1.9575319290161133,1.747406005859375,-5.457891941070557,1.0
AJ,2.9792803616146557e-05,0.05502200499176979,1228.0,0.48999318240413087,0.27863215206801034,-434.1013488769531,113.50768280029297,27.93944549560547,25.819774627685547,9.178170204162598,3.222628116607666,-5.523385047912598,-6.052491664886475,-2.783796548843384,10.460110664367676,-16.363901138305664,-4.448034286499023,2.973705768585205,-6.5476274490356445,1.0
AJ,-6.3048460106074344e-06,0.05471242964267731,1149.0,0.4812382473829941,0.2583420229405631,-435.30413818359375,109.00789642333984,26.271743774414062,26.34296226501465,4.4288153648376465,3.19193696975708,-5.21695613861084,-6.196419715881348,-1.237885594367981,10.546700477600098,-18.459959030151367,-2.4777331352233887,1.733160138130188,-7.00112247467041,1.0
AJ,-3.1940835469868034e-05,0.04540076106786728,1304.0,0.514130974154053,0.2692537568306011,-451.6103210449219,120.30831146240234,26.279647827148438,29.069599151611328,10.629737854003906,2.2579455375671387,-4.153640270233154,-4.776608943939209,0.8310862183570862,11.77501106262207,-18.153553009033203,-4.780642986297607,1.9243714809417725,-4.874475002288818,1.0
